time,node,remaining_energy_j
0.2,0,19.561
0.2,1,19.9275
0.2,2,19.4109
0.2,3,19.8648
0.2,4,19.8611
0.2,5,20.0609
0.2,6,20.0438
0.2,7,19.9701
0.2,8,19.6073
0.2,9,19.8137
0.2,10,19.8314
0.2,11,19.918
0.2,12,19.7004
0.2,13,19.599
0.2,14,20.2339
0.2,15,19.6153
0.2,16,19.9401
0.2,17,19.6632
0.2,18,20.2749
0.2,19,19.6548
0.2,20,20.1878
0.2,21,20.0953
0.2,22,19.8511
0.2,23,20.0268
0.2,24,19.8475
0.2,25,20.1611
0.2,26,19.8237
0.2,27,19.6489
0.2,28,19.6442
0.2,29,20.3187
0.2,30,20.0986
0.2,31,19.5671
0.2,32,19.4561
0.2,33,19.6169
0.2,34,19.7738
0.2,35,19.994
0.2,36,20.2613
0.2,37,19.9046
0.2,38,20.1473
0.2,39,19.9667
0.2,40,19.4467
0.2,41,20.0813
0.2,42,19.6146
0.2,43,20.0333
0.2,44,19.4417
0.2,45,20.2304
0.2,46,19.9283
0.2,47,20.077
0.2,48,20.2366
0.2,49,19.8775
1.2,0,18.706
1.2,1,19.0899
1.2,2,18.5638
1.2,3,19.0136
1.2,4,19.0022
1.2,5,19.2257
1.2,6,19.2233
1.2,7,19.1346
1.2,8,18.7876
1.2,9,18.9925
1.2,10,19.0116
1.2,11,19.0982
1.2,12,18.8809
1.2,13,18.7656
1.2,14,19.4089
1.2,15,18.7875
1.2,16,19.1104
1.2,17,18.8292
1.2,18,19.4374
1.2,19,18.835
1.2,20,19.3682
1.2,21,19.2643
1.2,22,19.0311
1.2,23,19.1938
1.2,24,19.0279
1.2,25,19.3326
1.2,26,19.0039
1.2,27,18.8291
1.2,28,18.8246
1.2,29,19.4928
1.2,30,19.2639
1.2,31,18.7467
1.2,32,18.6357
1.2,33,18.7969
1.2,34,18.9541
1.2,35,19.1607
1.2,36,19.4332
1.2,37,19.0848
1.2,38,19.3188
1.2,39,19.1392
1.2,40,18.62
1.2,41,19.2615
1.2,42,18.7941
1.2,43,19.2135
1.2,44,18.6221
1.2,45,19.4105
1.2,46,19.1004
1.2,47,19.2436
1.2,48,19.414
1.2,49,19.0498
2.2,0,17.7829
2.2,1,18.1846
2.2,2,17.6172
2.2,3,18.0307
2.2,4,18.0189
2.2,5,18.3468
2.2,6,18.4032
2.2,7,18.2567
2.2,8,17.9679
2.2,9,18.1565
2.2,10,18.1918
2.2,11,18.2784
2.2,12,18.0618
2.2,13,17.8813
2.2,14,18.5583
2.2,15,17.9362
2.2,16,18.2325
2.2,17,17.9401
2.2,18,18.5164
2.2,19,18.0154
2.2,20,18.5486
